service_id,date,exception_type
3,20221226,1
2,20221226,2
3,20221227,1
2,20221227,2
3,20221228,1
2,20221228,2
3,20221229,1
2,20221229,2
3,20221230,1
2,20221230,2
1,20221230,2
3,20230102,1
2,20230102,2
3,20230103,1
2,20230103,2
3,20230206,1
2,20230206,2
1,20230406,1
3,20230407,1
2,20230407,2
1,20230407,2
3,20230410,1
2,20230410,2
3,20230425,1
2,20230425,2
3,20230605,1
2,20230605,2
1,20230713,1
3,20230714,1
2,20230714,2
1,20230714,2
3,20231023,1
2,20231023,2
1,20231116,1
3,20231117,1
2,20231117,2
1,20231117,2
2,20231225,2
4,20231225,1
3,20231226,1
2,20231226,2
3,20231227,1
2,20231227,2
3,20231228,1
2,20231228,2
3,20231229,1
2,20231229,2
1,20231229,2
