route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
F,1,7121,Diamond Harbour,,1,8888,2207,1,1
F,1,7120,Lyttelton,,0,8888,2206,1,1
80,2,1661,Parklands via City,,0,8008,2176,1,1
5,2,2897,Rolleston Express,,1,5025,2707,1,1
3,2,4146,Airport via University,,1,3007,2418,1,1
Oc,2,18103,Orbiter via St Martins,,1,89007,2524,1,1
1,2,1250,Belfast via City,,1,129,2504,1,1
5,2,2812,New Brighton via City,,0,5004,2612,1,1
140,2,2568,Mt Pleasant via Eastgate,,1,1403,2134,1,1
5,2,2817,New Brighton via City,,0,5017,2166,1,1
7,2,5255,Queenspark via City,,1,7004,2518,1,1
29,2,2401,Airport via Fendalton,,1,2903,2151,1,1
3,2,4197,Sheffield Cres via University,,1,3019,2417,1,1
80,2,1725,Lincoln via City,,1,8016,2180,1,1
100,2,4817,Halswell,,1,10004,2116,1,1
1,2,1305,Princess Margaret Hospital,,0,118,2408,1,1
17,2,6912,Huntsbury via City,,0,1702,2137,1,1
3,2,4224,Sumner via City,,0,3007,2153,1,1
140,2,2559,Mt Pleasant via Eastgate,,1,1401,2134,1,1
F,2,7026,Diamond Harbour,,1,5555,2207,1,1
7,2,5335,Halswell via City,,0,7017,2519,1,1
80,2,1720,Lincoln via City,,1,8011,2180,1,1
80,2,1724,Lincoln via City,,1,8015,2180,1,1
80,2,1677,Parklands via City,,0,8015,2176,1,1
28,2,7163,Lyttelton,,0,2821,2805,1,1
85,2,1638,City & Ara Institute,,0,8501,2187,1,1
1,2,1333,Princess Margaret Hospital & Cashmere,,0,103,2108,1,1
5,2,2901,Hornby via City,,1,5018,2163,1,1
155,2,1186,Eastgate,,1,1551,2136,1,1
Oa,2,18051,Orbiter via The Palms,,0,99008,2615,1,1
1,2,1315,Princess Margaret Hospital,,0,136,2408,1,1
107,2,7369,Styx Mill & Supa Centa,,1,10701,2119,1,1
1,2,1266,Rangiora via City,,1,113,2503,1,1
130,2,3490,Hei Hei & Hornby,,0,1304,2702,1,1
3,2,4181,Airport via University,,1,3004,2418,1,1
44,2,3425,Shirley & Dallington,,1,4401,2162,1,1
125,2,3727,Westlake & Halswell via Hornby,,0,2504,2124,1,1
100,2,4780,Halswell,,1,10003,2116,1,1
140,2,2552,Mt Pleasant via Eastgate,,1,1401,2134,1,1
120,2,4020,Burnside,,1,1206,2509,1,1
3,2,4280,Sumner via City,,0,3004,2415,1,1
80,2,1665,Parklands via City,,0,8013,2176,1,1
7,2,5321,Halswell via City,,0,7001,2519,1,1
3,2,4226,Sumner via City,,0,3009,2153,1,1
100,2,4776,Halswell,,1,10006,2118,1,1
95,2,1848,Pegasus Express,,1,9514,2522,1,1
80,2,1694,Lincoln via City,,1,8005,2180,1,1
Oa,2,18054,Orbiter via The Palms,,0,99001,2615,1,1
3,2,4194,Sheffield Cres via University,,1,3016,2417,1,1
1,2,1321,Princess Margaret Hospital,,0,129,2110,1,1
1,2,1310,Princess Margaret Hospital & Cashmere,,0,103,2108,1,1
60,2,3168,Hillmorton & Wigram via City,,1,6013,2421,1,1
3,2,4172,Sheffield Cres via University,,1,3014,2417,1,1
7,2,5328,Halswell via City,,0,7008,2519,1,1
135,2,7583,New Brighton via Prestons,,0,1352,2303,1,1
100,2,4822,The Palms,,0,10008,2114,1,1
1,2,1259,Belfast via City,,1,137,2502,1,1
120,2,4049,Spreydon & Barrington,,0,1204,2508,1,1
28,2,7133,Lyttelton,,0,2808,2805,1,1
44,2,3371,Shirley & Dallington,,1,4401,2162,1,1
Oc,2,18110,Orbiter via St Martins,,1,89004,2524,1,1
1,2,1302,Princess Margaret Hospital & Cashmere,,0,112,2108,1,1
85,2,1636,City & Ara Institute,,0,8502,2187,1,1
125,2,3760,Redwood via Hornby,,1,2501,2510,1,1
5,2,2918,Rolleston via City,,1,5021,2610,1,1
7,2,5277,Queenspark via City,,1,7017,2518,1,1
28,2,7215,Northlands via City,,1,2821,2411,1,1
140,2,2578,Mt Pleasant via Eastgate,,1,1407,2134,1,1
1,2,1293,Princess Margaret Hospital & Cashmere,,0,113,2108,1,1
5,2,2821,New Brighton via City,,0,5011,2612,1,1
5,2,2832,New Brighton via City,,0,5009,2166,1,1
7,2,5332,Halswell via City,,0,7011,2519,1,1
80,2,1674,Parklands via City,,0,8013,2176,1,1
29,2,2376,City via Fendalton,,0,2902,2150,1,1
140,2,2557,Mt Pleasant via Eastgate,,1,1406,2134,1,1
125,2,3716,Westlake & Halswell via Hornby,,0,2508,2124,1,1
140,2,2601,Russley & Hornby via Eastgate,,0,1405,2132,1,1
Oc,2,18102,Orbiter via St Martins,,1,89004,2524,1,1
5,2,2797,New Brighton via City,,0,5004,2166,1,1
100,2,4855,The Palms,,0,10005,2114,1,1
5,2,2883,Rolleston via City,,1,5008,2610,1,1
60,2,3163,Hillmorton & Wigram via City,,1,6001,2421,1,1
28,2,7193,Northwood via City,,1,2802,2803,1,1
5,2,2810,New Brighton via City,,0,5018,2612,1,1
95,2,1849,Pegasus & Waikuku Express,,1,9508,2521,1,1
60,2,3173,Hillmorton & Wigram via City,,1,6014,2421,1,1
107,2,7379,Styx Mill & Supa Centa,,1,10701,2119,1,1
1,2,1316,Princess Margaret Hospital & Cashmere,,0,117,2108,1,1
140,2,2581,Russley & Hornby,,0,1406,2133,1,1
820,2,3932,Lincoln,,0,8201,2709,1,1
135,2,7574,The Palms via Prestons,,1,1351,2302,1,1
3,2,4185,Sheffield Cres via University,,1,3023,2417,1,1
44,2,3409,Shirley & Dallington,,1,4406,2162,1,1
80,2,1716,Lincoln via City,,1,8010,2180,1,1
17,2,6906,Huntsbury via City,,0,1701,2137,1,1
3,2,4163,Sheffield Cres via University,,1,3005,2417,1,1
28,2,7208,Northwood via City,,1,2815,2803,1,1
Oc,2,18119,Orbiter via St Martins,,1,89007,2524,1,1
Oc,2,18115,Orbiter via St Martins,,1,89001,2524,1,1
F,2,7030,Diamond Harbour,,1,5555,2207,1,1
80,2,1648,Parklands,,0,8012,2177,1,1
7,2,5278,Queenspark via City,,1,7003,2518,1,1
820,2,3941,Lincoln,,0,8202,2709,1,1
28,2,7181,City & Manchester Street,,1,2813,2144,1,1
3,2,4168,Sheffield Cres via University,,1,3010,2417,1,1
7,2,5227,Queenspark via City,,1,7002,2518,1,1
7,2,5289,Queenspark via City,,1,7004,2518,1,1
5,2,2859,Hornby via City,,1,5004,2163,1,1
F,2,7038,Diamond Harbour,,1,5555,2207,1,1
5,2,2914,Rolleston via City,,1,5018,2610,1,1
5,2,2815,New Brighton via City,,0,5002,2166,1,1
130,2,3523,Hei Hei & Hornby,,0,1306,2702,1,1
5,2,2822,New Brighton via City,,0,5018,2166,1,1
Oc,2,18135,Orbiter via St Martins,,1,89008,2524,1,1
81,2,1721,Lincoln direct,,1,8104,2182,1,1
60,2,3178,Hillmorton & Wigram via City,,1,6013,2421,1,1
135,2,7579,New Brighton via Prestons,,0,1352,2303,1,1
60,2,3188,Southshore via City,,0,6009,2170,1,1
120,2,4045,Spreydon & Barrington,,0,1201,2508,1,1
7,2,5294,Halswell via City,,0,7012,2519,1,1
1,2,1326,Princess Margaret Hospital & Cashmere,,0,137,2108,1,1
130,2,3527,Avonhead & Burnside High School,,1,1301,2706,1,1
5,2,2782,New Brighton via City,,0,5002,2612,1,1
7,2,5254,Queenspark via City,,1,7003,2518,1,1
28,2,7191,Northwood via City,,1,2808,2803,1,1
130,2,3557,Avonhead,,1,1303,2705,1,1
5,2,2780,New Brighton via City,,0,5001,2166,1,1
5,2,2891,Hornby via City,,1,9106,2163,1,1
100,2,4839,The Palms,,0,10009,2114,1,1
130,2,3489,Hei Hei & Hornby,,0,1303,2702,1,1
100,2,4788,Halswell,,1,10004,2116,1,1
130,2,3506,Hei Hei & Hornby,,0,8505,2704,1,1
100,2,4841,The Palms,,0,10002,2114,1,1
125,2,3735,Redwood via Hornby,,1,2501,2510,1,1
80,2,1673,Parklands via City,,0,8017,2176,1,1
3,2,4237,Sumner via City,,0,3001,2415,1,1
28,2,7196,Northwood via City,,1,2814,2803,1,1
3,2,4266,Sumner via City,,0,3010,2153,1,1
7,2,5313,Halswell via City,,0,7005,2519,1,1
Oa,2,18063,Orbiter via The Palms,,0,99003,2615,1,1
3,2,4302,City,,0,3011,2416,1,1
3,2,4178,Airport via University,,1,3001,2418,1,1
140,2,2567,Mt Pleasant via Eastgate,,1,1402,2134,1,1
3,2,4128,Sheffield Cres via University,,1,3009,2417,1,1
F,2,7010,Lyttelton,,0,5555,2206,1,1
80,2,1700,Lincoln via City,,1,8001,2180,1,1
28,2,7142,Lyttelton,,0,2809,2805,1,1
7,2,5271,Queenspark via City,,1,7008,2518,1,1
1,2,1289,Princess Margaret Hospital,,0,122,2110,1,1
80,2,1668,Parklands via City,,0,8008,2176,1,1
Oc,2,18077,Orbiter via St Martins,,1,89006,2524,1,1
F,2,7024,Diamond Harbour,,1,5555,2207,1,1
140,2,2555,Mt Pleasant via Eastgate,,1,1404,2134,1,1
3,2,4268,Sumner via City,,0,3012,2415,1,1
130,2,3554,Avonhead,,1,1306,2705,1,1
3,2,4139,Sheffield Cres via University,,1,3019,2417,1,1
1,2,1292,City & Ara Institute Express,,0,102,2409,1,1
Oc,2,18095,Orbiter via St Martins,,1,89004,2524,1,1
29,2,2420,Airport via Fendalton,,1,2902,2151,1,1
17,2,6877,Bryndwr,,1,1703,2139,1,1
5,2,2908,Hornby via City,,1,5001,2163,1,1
125,2,3756,Redwood via Hornby,,1,2503,2510,1,1
7,2,5258,Queenspark via City,,1,7008,2518,1,1
1,2,1347,Princess Margaret Hospital,,0,104,2110,1,1
5,2,2835,New Brighton via City,,0,5022,2612,1,1
17,2,6897,Bryndwr,,1,1701,2138,1,1
17,2,6929,Huntsbury via City,,0,1701,2137,1,1
5,2,2834,New Brighton via City,,0,5021,2166,1,1
Oa,2,18029,Orbiter via The Palms,,0,99006,2615,1,1
7,2,5232,Queenspark via City,,1,7008,2518,1,1
130,2,3525,Avonhead,,1,1303,2705,1,1
125,2,3751,Redwood via Hornby,,1,2505,2510,1,1
130,2,3541,Avonhead,,1,1303,2705,1,1
7,2,5341,Halswell via City,,0,7008,2519,1,1
60,2,3210,Southshore via City,,0,6003,2170,1,1
107,2,7365,Northlands,,0,10701,2120,1,1
3,2,4287,Sumner via City,,0,3010,2153,1,1
60,2,3171,Hillmorton & Wigram via City,,1,6016,2421,1,1
Oa,2,18003,Orbiter via The Palms,,0,99003,2615,1,1
Oc,2,18124,Orbiter via St Martins,,1,89002,2524,1,1
135,2,7566,The Palms via Prestons,,1,1351,2302,1,1
60,2,3155,Hillmorton & Wigram via City,,1,6010,2421,1,1
Oc,2,18087,Orbiter via St Martins,,1,89003,2524,1,1
80,2,1685,Parklands via City,,0,8013,2176,1,1
107,2,7366,Northlands,,0,10701,2120,1,1
28,2,7199,Northwood via City,,1,2808,2803,1,1
5,2,2855,Rolleston via City,,1,5008,2610,1,1
125,2,3698,Westlake & Halswell via Hornby,,0,2501,2124,1,1
3,2,4201,Airport via University,,1,3003,2418,1,1
120,2,4017,Burnside,,1,1202,2509,1,1
3,2,4257,Sumner via City,,0,3002,2153,1,1
80,2,1666,Parklands via City,,0,8004,2176,1,1
3,2,4169,Sheffield Cres via University,,1,3011,2417,1,1
44,2,3421,Shirley & Dallington,,1,4403,2162,1,1
5,2,2785,New Brighton via City,,0,5005,2612,1,1
7,2,5304,Halswell via City,,0,7009,2519,1,1
5,2,2917,Hornby via City,,1,5005,2163,1,1
80,2,1670,Parklands via City,,0,8014,2176,1,1
135,2,7588,New Brighton via Prestons,,0,1351,2303,1,1
29,2,2429,Airport via Fendalton,,1,2902,2151,1,1
17,2,6882,Bryndwr,,1,1705,2138,1,1
5,2,2854,Hornby via City,,1,5009,2163,1,1
29,2,2403,Airport via Fendalton,,1,2901,2151,1,1
125,2,3734,Redwood via Hornby,,1,2506,2510,1,1
3,2,4288,Sumner via City,,0,3011,2153,1,1
3,2,4267,Sumner via City,,0,3011,2153,1,1
80,2,1686,Parklands via City,,0,8016,2176,1,1
120,2,4000,Burnside,,1,1205,2509,1,1
60,2,3190,Southshore via City,,0,6001,2170,1,1
3,2,4300,Sumner via City,,0,3001,2415,1,1
125,2,3758,Redwood via Hornby,,1,2505,2510,1,1
Oc,2,18116,Orbiter via St Martins,,1,89002,2524,1,1
1,2,1260,Rangiora via City,,1,125,2503,1,1
140,2,2569,Mt Pleasant via Eastgate,,1,1404,2134,1,1
F,2,7037,Diamond Harbour,,1,5555,2207,1,1
97,2,1959,Acacia Ave Rangiora,,1,9508,2204,1,1
125,2,3744,Redwood via Hornby,,1,2504,2510,1,1
44,2,3403,Shirley & Dallington,,1,4405,2162,1,1
28,2,7197,Northwood via City,,1,2820,2803,1,1
130,2,3513,Hei Hei & Hornby,,0,1303,2702,1,1
1,2,1252,Belfast via City,,1,124,2504,1,1
130,2,3542,Avonhead,,1,8505,2705,1,1
95,2,1866,City & Ara Institute,,0,9501,2200,1,1
17,2,6905,Bryndwr,,1,1706,2138,1,1
3,2,4290,Sumner via City,,0,3013,2153,1,1
130,2,3498,Hei Hei & Hornby,,0,1301,2702,1,1
3,2,4293,Sumner via City,,0,3022,2415,1,1
60,2,3195,Southshore via City,,0,6005,2170,1,1
1,2,1320,Princess Margaret Hospital,,0,138,2408,1,1
60,2,3185,Hillmorton & Wigram via City,,1,6009,2421,1,1
Oc,2,18136,Orbiter via St Martins,,1,89005,2524,1,1
1,2,1277,Princess Margaret Hospital,,0,106,2408,1,1
Oc,2,18075,Orbiter via Burnside High School,,1,89007,2525,1,1
3,2,4157,Sheffield Cres via University,,1,3018,2417,1,1
7,2,5287,Queenspark via City,,1,7011,2518,1,1
3,2,4265,Sumner via City,,0,3009,2415,1,1
7,2,5282,Queenspark via City,,1,7011,2518,1,1
Oa,2,18066,Orbiter via The Palms,,0,99002,2615,1,1
60,2,3172,Hillmorton & Wigram via City,,1,6001,2421,1,1
820,2,3933,Lincoln,,0,8202,2709,1,1
29,2,2414,Airport via Fendalton,,1,2902,2151,1,1
17,2,6896,Bryndwr,,1,1704,2138,1,1
130,2,3552,Avonhead,,1,1307,2705,1,1
5,2,2857,Rolleston via City,,1,5001,2610,1,1
1,2,1207,Belfast via City,,1,117,2502,1,1
3,2,4173,Airport via University,,1,3015,2418,1,1
29,2,2386,City via Fendalton,,0,2901,2150,1,1
3,2,4152,Airport via University,,1,3013,2418,1,1
28,2,7159,Lyttelton,,0,2814,2805,1,1
140,2,2598,Russley & Hornby via Eastgate,,0,1402,2132,1,1
107,2,7368,Northlands,,0,10701,2120,1,1
17,2,6881,Bryndwr,,1,1703,2138,1,1
820,2,3918,Burnham,,1,8202,2710,1,1
Oc,2,18096,Orbiter via St Martins,,1,89007,2524,1,1
140,2,2566,Mt Pleasant via Eastgate,,1,1401,2134,1,1
3,2,4203,Airport via University,,1,3023,2418,1,1
7,2,5275,Queenspark via City,,1,7012,2518,1,1
1,2,1337,Princess Margaret Hospital & Cashmere,,0,137,2108,1,1
97,2,1960,Acacia Ave Rangiora,,1,9509,2204,1,1
3,2,4219,Sumner via City,,0,3002,2415,1,1
F,2,7001,Lyttelton,,0,5555,2206,1,1
130,2,3536,Avonhead,,1,1303,2705,1,1
5,2,2802,New Brighton via City,,0,5013,2612,1,1
1,2,1222,Belfast via City,,1,114,2502,1,1
1,2,1238,Belfast via City,,1,112,2502,1,1
95,2,1869,City & Ara Institute,,0,9509,2200,1,1
F,2,7034,Diamond Harbour,,1,5555,2207,1,1
135,2,7580,New Brighton via Prestons,,0,1351,2303,1,1
3,2,4264,Sumner via City,,0,3008,2153,1,1
5,2,2811,New Brighton via City,,0,5001,2166,1,1
29,2,2370,City via Fendalton,,0,2902,2150,1,1
5,2,2819,New Brighton via City,,0,5019,2166,1,1
1,2,1199,Rangiora via City,,1,102,2503,1,1
80,2,1658,City & Ara Institute,,0,8003,2179,1,1
7,2,5312,Halswell via City,,0,7004,2519,1,1
130,2,3493,Hei Hei & Hornby,,0,1301,2702,1,1
Oc,2,18097,Orbiter via St Martins,,1,89005,2524,1,1
100,2,4840,The Palms,,0,10014,2114,1,1
5,2,2912,Hornby via City,,1,5021,2163,1,1
1,2,1267,Belfast via City,,1,134,2504,1,1
95,2,1841,Pegasus,,1,9503,2520,1,1
3,2,4295,Sumner via City,,0,3003,2415,1,1
60,2,3203,Southshore via City,,0,6009,2170,1,1
130,2,3549,Avonhead,,1,1309,2705,1,1
3,2,4204,Sheffield Cres via University,,1,3009,2417,1,1
80,2,1730,Lincoln via City,,1,8014,2180,1,1
5,2,2837,New Brighton via City,,0,5018,2166,1,1
5,2,2864,Hornby via City,,1,5005,2163,1,1
135,2,7570,The Palms via Prestons,,1,1351,2302,1,1
3,2,4166,Sheffield Cres via University,,1,3008,2417,1,1
120,2,4012,Burnside,,1,1202,2509,1,1
1,2,1234,Belfast via City,,1,103,2502,1,1
5,2,2796,City & Ara Institute Express,,0,5003,2708,1,1
125,2,3763,Redwood via Hornby,,1,2505,2510,1,1
5,2,2858,Hornby via City,,1,5015,2163,1,1
3,2,4277,Sumner via City,,0,3001,2415,1,1
5,2,2880,Hornby via City,,1,5017,2163,1,1
28,2,7151,Lyttelton,,0,2809,2805,1,1
100,2,4805,Halswell,,1,10004,2116,1,1
Oc,2,18109,Orbiter via St Martins,,1,89003,2524,1,1
125,2,3741,Redwood via Hornby,,1,2501,2510,1,1
1,2,1269,Belfast via City,,1,104,2504,1,1
125,2,3746,Redwood via Hornby,,1,2506,2510,1,1
Oa,2,18040,Orbiter via The Palms,,0,99003,2615,1,1
28,2,7186,Northwood via City,,1,2802,2803,1,1
29,2,2378,City via Fendalton,,0,2903,2150,1,1
29,2,2371,City via Fendalton,,0,2901,2150,1,1
60,2,3160,Hillmorton & Wigram via City,,1,6005,2421,1,1
130,2,3551,Avonhead,,1,1301,2705,1,1
7,2,5264,Queenspark via City,,1,7017,2518,1,1
Oa,2,18022,Orbiter via The Palms,,0,99006,2615,1,1
3,2,4223,Sumner via City,,0,3006,2153,1,1
Oc,2,18117,Orbiter via St Martins,,1,89003,2524,1,1
1,2,1323,Princess Margaret Hospital,,0,124,2408,1,1
Oa,2,18046,Orbiter via The Palms,,0,99001,2615,1,1
1,2,1268,Rangiora via City,,1,125,2503,1,1
44,2,3383,Shirley & Dallington,,1,4402,2162,1,1
1,2,1299,Princess Margaret Hospital,,0,106,2408,1,1
92,2,1592,City & Public Hospital,,0,9202,2426,1,1
140,2,2554,Mt Pleasant via Eastgate,,1,1403,2134,1,1
17,2,6883,Bryndwr,,1,1704,2138,1,1
28,2,7174,Northwood via City,,1,2802,2804,1,1
60,2,3151,Hillmorton & Wigram via City,,1,6006,2421,1,1
Oa,2,18014,Orbiter via The Palms,,0,99005,2615,1,1
28,2,7198,Northwood via City,,1,2815,2803,1,1
5,2,2793,New Brighton via City,,0,5011,2166,1,1
80,2,1660,Parklands via City,,0,8007,2176,1,1
Oa,2,18036,Orbiter via The Palms,,0,99005,2615,1,1
130,2,3538,Avonhead,,1,1306,2705,1,1
130,2,3550,Avonhead,,1,1306,2705,1,1
60,2,3226,Southshore via City,,0,6017,2170,1,1
7,2,5245,Queenspark via City,,1,7006,2518,1,1
3,2,4301,Sumner via City,,0,3023,2415,1,1
Oc,2,18127,Orbiter via St Martins,,1,89008,2524,1,1
7,2,5290,Halswell via City,,0,7008,2519,1,1
130,2,3519,Hei Hei & Hornby,,0,1306,2702,1,1
60,2,3170,Hillmorton & Wigram via City,,1,6010,2421,1,1
17,2,6931,Huntsbury via City,,0,1706,2137,1,1
3,2,4272,Sumner via City,,0,3016,2153,1,1
3,2,4137,Airport via University,,1,3017,2418,1,1
7,2,5308,Halswell via City,,0,7013,2519,1,1
44,2,3423,Shirley & Dallington,,1,4405,2162,1,1
7,2,5338,Halswell via City,,0,7004,2519,1,1
140,2,2577,Mt Pleasant via Eastgate,,1,1406,2134,1,1
29,2,2395,City via Fendalton,,0,2901,2150,1,1
100,2,4823,The Palms,,0,10005,2114,1,1
7,2,5309,Halswell via City,,0,7001,2519,1,1
44,2,3373,Shirley & Dallington,,1,4402,2162,1,1
95,2,1844,Pegasus,,1,9510,2520,1,1
F,2,7036,Diamond Harbour,,1,5555,2207,1,1
29,2,2393,City via Fendalton,,0,2901,2150,1,1
Oc,2,18120,Orbiter via St Martins,,1,89008,2524,1,1
44,2,3400,Westmorland via City,,0,4403,2161,1,1
5,2,2863,Hornby via City,,1,5007,2163,1,1
7,2,5248,Queenspark via City,,1,7010,2518,1,1
80,2,1687,Parklands via City,,0,8014,2176,1,1
130,2,3544,Avonhead,,1,1301,2705,1,1
1,2,1233,Rangiora via City,,1,116,2503,1,1
F,2,7021,Lyttelton,,0,5555,2206,1,1
100,2,4859,The Palms,,0,10016,2114,1,1
125,2,3726,Westlake & Halswell via Hornby,,0,2503,2124,1,1
Oc,2,18099,Orbiter via St Martins,,1,89001,2524,1,1
125,2,3739,Redwood via Hornby,,1,2505,2510,1,1
120,2,4022,Burnside,,1,1204,2509,1,1
120,2,4048,Spreydon & Barrington,,0,1202,2508,1,1
60,2,3150,Hillmorton & Wigram via City,,1,6005,2421,1,1
17,2,6907,Huntsbury via City,,0,1702,2137,1,1
Oc,2,18080,Orbiter via St Martins,,1,89003,2524,1,1
F,2,7016,Lyttelton,,0,5555,2206,1,1
3,2,4142,Sheffield Cres via University,,1,3003,2417,1,1
3,2,4187,Airport via University,,1,3009,2418,1,1
3,2,4220,Sumner via City,,0,3003,2153,1,1
Oc,2,18088,Orbiter via St Martins,,1,89004,2524,1,1
60,2,3174,Hillmorton & Wigram via City,,1,6011,2421,1,1
Oc,2,18107,Orbiter via St Martins,,1,89001,2524,1,1
5,2,2875,Rolleston via City,,1,5005,2610,1,1
44,2,3424,Westmorland via City,,0,4401,2161,1,1
5,2,2862,Rolleston via City,,1,5002,2610,1,1
120,2,4014,Burnside,,1,1201,2509,1,1
Oa,2,18053,Orbiter via The Palms,,0,99006,2615,1,1
120,2,4016,Burnside,,1,1203,2509,1,1
29,2,2374,City via Fendalton,,0,2901,2150,1,1
Oa,2,18061,Orbiter via The Palms,,0,99001,2615,1,1
95,2,1862,City & Ara Institute Express,,0,9505,2203,1,1
820,2,3923,Burnham,,1,8201,2710,1,1
100,2,4828,The Palms,,0,10002,2114,1,1
28,2,7214,Northlands via City,,1,2815,2411,1,1
130,2,3508,Hei Hei & Hornby,,0,1309,2702,1,1
7,2,5336,Halswell via City,,0,7001,2519,1,1
120,2,4034,Spreydon & Barrington,,0,1203,2508,1,1
130,2,3516,Hei Hei & Hornby,,0,1301,2702,1,1
17,2,6894,Bryndwr,,1,1706,2138,1,1
Oa,2,18062,Orbiter via The Palms,,0,99002,2615,1,1
17,2,6934,Huntsbury via City,,0,1701,2137,1,1
80,2,1728,Lincoln via City,,1,8013,2180,1,1
130,2,3530,Avonhead,,1,9101,2705,1,1
28,2,7213,Northwood via City,,1,2814,2803,1,1
7,2,5345,Halswell via City,,0,7012,2519,1,1
3,2,4176,Airport via University,,1,3018,2418,1,1
130,2,3526,Avonhead,,1,1304,2705,1,1
3,2,4241,Sumner via City,,0,3005,2153,1,1
3,2,4153,Sheffield Cres via University,,1,3014,2417,1,1
Oc,2,18094,Orbiter via St Martins,,1,89003,2524,1,1
80,2,1669,Parklands via City,,0,8010,2176,1,1
5,2,2884,Hornby via City,,1,5018,2163,1,1
120,2,4032,Spreydon & Barrington,,0,1204,2508,1,1
Oa,2,18019,Orbiter via The Palms,,0,99004,2615,1,1
80,2,1655,Parklands via City,,0,8006,2176,1,1
97,2,1950,Pegasus,,0,9513,2205,1,1
100,2,4820,The Palms,,0,10003,2114,1,1
44,2,3379,Shirley & Dallington,,1,4405,2162,1,1
1,2,1232,Belfast via City,,1,114,2502,1,1
17,2,6889,Bryndwr,,1,1703,2138,1,1
60,2,3153,Hillmorton & Wigram via City,,1,6009,2421,1,1
120,2,4039,Spreydon & Barrington,,0,1202,2508,1,1
F,2,7043,Diamond Harbour,,1,5555,2207,1,1
1,2,1224,Belfast via City,,1,103,2502,1,1
29,2,2406,Airport via Fendalton,,1,2901,2151,1,1
135,2,7582,New Brighton via Prestons,,0,1351,2303,1,1
Oa,2,18064,Orbiter via The Palms,,0,99005,2615,1,1
5,2,2907,Rolleston via City,,1,5002,2610,1,1
125,2,3753,Redwood via Hornby,,1,2506,2510,1,1
140,2,2612,Russley & Hornby via Eastgate,,0,1404,2132,1,1
1,2,1303,Princess Margaret Hospital,,0,115,2408,1,1
5,2,2836,New Brighton via City,,0,5011,2166,1,1
155,2,1187,Eastgate,,1,1551,2136,1,1
60,2,3165,Hillmorton & Wigram via City,,1,6012,2421,1,1
80,2,1710,Lincoln via City,,1,8004,2180,1,1
7,2,5284,Queenspark via City,,1,7004,2518,1,1
3,2,4165,Sheffield Cres via University,,1,3007,2417,1,1
1,2,1204,Belfast via City,,1,113,2502,1,1
17,2,6915,Huntsbury via City,,0,1704,2137,1,1
7,2,5253,Queenspark via City,,1,7014,2518,1,1
95,2,1871,City & Ara Institute,,0,9511,2200,1,1
5,2,2838,New Brighton via City,,0,5024,2612,1,1
5,2,2878,Hornby via City,,1,5002,2163,1,1
3,2,4278,Sumner via City,,0,3002,2153,1,1
7,2,5314,Halswell via City,,0,7006,2519,1,1
3,2,4270,Sumner via City,,0,3014,2153,1,1
3,2,4164,Airport via University,,1,3006,2418,1,1
60,2,3177,Hillmorton & Wigram via City,,1,6017,2421,1,1
95,2,1859,City & Ara Institute Express,,0,9501,2203,1,1
Oc,2,18091,Orbiter via St Martins,,1,89006,2524,1,1
5,2,2781,New Brighton via City,,0,5004,2166,1,1
Oa,2,18059,Orbiter via The Palms,,0,99005,2615,1,1
80,2,1702,Lincoln via City,,1,8013,2180,1,1
125,2,3757,Redwood via Hornby,,1,2504,2510,1,1
100,2,4806,Halswell,,1,10011,2116,1,1
5,2,2818,New Brighton via City,,0,5009,2612,1,1
5,2,2879,Rolleston via City,,1,5011,2610,1,1
1,2,1229,Rangiora via City,,1,124,2503,1,1
820,2,3939,Lincoln,,0,8202,2709,1,1
17,2,6888,Bryndwr,,1,1701,2138,1,1
100,2,4801,Halswell,,1,10009,2116,1,1
125,2,3708,Westlake & Halswell via Hornby,,0,2504,2124,1,1
130,2,3560,Avonhead,,1,1307,2705,1,1
7,2,5323,Halswell via City,,0,7003,2519,1,1
107,2,7364,Northlands,,0,10701,2120,1,1
100,2,4829,The Palms,,0,10004,2114,1,1
Oc,2,18106,Orbiter via St Martins,,1,89006,2524,1,1
44,2,3377,Shirley & Dallington,,1,4404,2162,1,1
7,2,5269,Queenspark via City,,1,7005,2518,1,1
125,2,3710,Westlake & Halswell via Hornby,,0,2506,2124,1,1
3,2,4199,Sheffield Cres via University,,1,3001,2417,1,1
97,2,1961,Acacia Ave Rangiora,,1,9510,2204,1,1
28,2,7171,Lyttelton,,0,2817,2805,1,1
3,2,4249,Sumner via City,,0,3013,2415,1,1
5,2,2852,New Brighton via City,,0,5018,2166,1,1
3,2,4227,Sumner via City,,0,3010,2153,1,1
1,2,1342,Princess Margaret Hospital,,0,125,2408,1,1
7,2,5324,Halswell via City,,0,7004,2519,1,1
97,2,1957,Acacia Ave Rangiora,,1,9501,2204,1,1
3,2,4238,Sumner via City,,0,3002,2153,1,1
80,2,1679,Parklands via City,,0,8016,2176,1,1
95,2,1861,City & Ara Institute Express,,0,9503,2201,1,1
